Methane_ppm,CO2_ppm,NH3_ppm,H2S_ppm,Temperature_C,Humidity_percent,Garbage_Present,Risk_Level
15.99,497.21,31.22,10.68,26.0,61.69,Yes,Medium
33.31,398.67,9.8,2.49,20.96,46.02,No,Low
30.5,340.02,1.68,9.84,23.62,45.52,No,Low
26.93,250.0,21.31,1.38,34.37,66.34,No,Medium
75.31,481.94,22.99,7.13,29.29,46.39,Yes,High
48.1,442.39,15.06,4.37,27.47,59.07,No,Medium
14.78,303.42,9.42,9.79,29.97,75.86,No,Low
58.36,346.14,24.94,9.67,35.84,64.56,Yes,Medium
82.44,353.32,20.28,10.41,30.02,49.17,Yes,High
60.65,251.7,7.32,9.44,32.7,81.15,Yes,Medium
9.61,318.23,15.49,4.97,25.77,68.22,No,Low
30.32,286.62,1.48,6.69,26.91,75.27,No,Low
65.34,358.75,21.86,12.6,31.77,25.99,Yes,Medium
25.85,326.13,12.38,13.34,39.46,64.96,No,Low
48.88,250.0,10.64,2.27,37.15,72.63,No,Medium
55.49,602.26,14.67,0.35,32.91,85.5,Yes,Medium
21.46,525.25,15.4,4.37,30.76,38.04,No,Low
38.81,322.1,23.95,13.23,37.01,78.09,No,Medium
0.0,427.24,20.91,14.07,33.97,84.67,No,Medium
19.51,441.75,13.44,3.38,18.53,29.74,No,Low
34.95,519.11,22.64,9.54,24.73,67.18,No,Medium
15.04,318.14,19.01,17.17,31.69,69.26,No,High
72.65,509.21,10.73,10.08,21.07,55.09,Yes,High
11.4,345.21,13.75,15.11,25.51,52.65,No,High
31.2,266.41,13.52,12.99,26.5,70.02,No,Low
42.61,472.41,20.05,3.45,28.72,50.78,No,Medium
68.83,529.08,11.33,7.05,28.56,56.74,Yes,Medium
11.28,658.79,11.1,8.17,28.55,72.19,No,Low
63.26,280.03,34.69,8.52,34.13,86.31,Yes,Medium
40.2,469.89,24.4,12.58,28.67,68.07,No,Medium
20.37,359.02,7.39,10.04,28.08,62.0,No,Low
49.24,478.34,20.71,0.0,23.25,52.25,No,Medium
43.98,252.95,16.18,1.44,35.12,44.84,No,Medium
28.0,273.72,18.92,0.0,26.64,76.64,No,Low
41.4,322.41,16.37,8.88,24.56,57.7,No,Medium
32.29,407.9,26.9,9.2,31.07,77.26,Yes,Medium
42.27,335.89,18.46,9.42,26.17,55.06,No,Medium
53.24,465.91,14.38,3.21,27.37,50.26,Yes,Medium
71.72,502.69,25.42,11.37,31.29,66.31,Yes,High
15.24,459.96,17.33,11.58,28.37,58.85,No,Low
82.66,561.88,16.21,1.72,41.56,41.92,Yes,High
0.96,441.58,18.14,0.67,29.63,87.26,No,Low
36.96,278.31,14.06,8.0,33.09,50.6,No,Low
51.77,536.34,15.09,16.96,20.29,73.91,Yes,High
45.62,339.48,9.13,16.5,25.7,72.63,No,High
27.55,491.04,7.49,10.82,24.57,41.11,No,Low
35.84,557.37,5.01,4.35,25.23,44.96,No,Low
30.14,445.67,1.08,12.43,32.08,55.48,No,Low
28.21,250.38,6.2,5.74,35.18,47.02,No,Low
56.99,308.18,13.26,4.16,31.72,85.9,Yes,Medium
47.14,532.27,16.03,0.0,28.87,57.0,No,Medium
26.14,383.09,12.29,8.51,26.85,73.35,No,Low
57.99,407.96,0.0,4.85,35.57,67.7,Yes,Medium
46.15,475.88,30.75,8.48,40.36,63.96,Yes,Medium
56.26,469.63,25.86,0.0,30.68,60.6,Yes,Medium
52.59,427.88,19.46,8.85,34.7,78.56,Yes,Medium
23.42,379.13,34.07,0.0,31.72,47.62,Yes,Medium
28.8,368.73,5.23,13.44,33.78,85.9,No,Low
54.95,485.79,33.88,10.61,24.18,40.69,Yes,Medium
52.21,455.36,5.35,6.61,27.56,71.72,Yes,Medium
39.58,374.27,17.39,10.81,31.98,38.92,No,Low
42.35,508.21,2.26,3.11,36.06,55.26,No,Medium
65.55,387.1,15.15,8.36,25.91,61.4,Yes,Medium
28.17,314.83,18.86,11.97,19.83,52.7,No,Low
50.94,324.1,13.45,0.0,27.51,57.27,Yes,Medium
35.96,302.13,22.14,5.76,35.05,39.2,No,Medium
35.65,372.76,15.99,7.89,22.08,45.19,No,Low
61.98,523.37,9.78,7.02,24.12,67.47,Yes,Medium
56.51,319.49,9.33,15.29,30.78,60.45,Yes,High
56.27,418.85,23.11,2.38,29.42,49.64,Yes,Medium
66.11,334.33,8.46,4.89,32.97,79.86,Yes,Medium
40.42,373.97,24.15,0.0,23.86,41.7,No,Medium
53.64,250.0,27.23,15.55,28.38,54.58,Yes,High
33.79,377.95,0.0,6.77,35.98,52.42,No,Low
46.48,380.63,26.33,5.81,24.04,69.23,Yes,Medium
37.4,454.03,35.6,7.74,37.38,60.72,Yes,High
41.94,422.33,17.52,11.18,24.66,58.38,No,Medium
51.9,280.16,20.99,9.74,34.25,32.34,Yes,Medium
23.64,508.42,25.37,21.24,28.14,72.98,Yes,High
81.85,421.03,12.25,10.27,24.28,56.73,Yes,High
19.88,419.84,16.82,5.67,27.52,61.73,No,Low
15.72,399.08,1.86,5.19,32.72,48.77,No,Low
63.16,348.22,16.39,6.04,29.97,46.41,Yes,Medium
55.83,421.78,19.98,0.49,35.59,82.49,Yes,Medium
52.48,447.56,20.16,8.2,37.18,33.4,Yes,Medium
52.57,250.0,25.65,11.92,24.08,44.19,Yes,Medium
39.76,346.12,7.25,4.93,23.72,82.21,No,Low
22.05,374.51,9.67,3.96,23.48,69.61,No,Low
41.52,425.62,33.96,15.58,25.5,55.12,Yes,High
26.46,519.33,13.5,0.87,35.52,78.7,No,Low
59.5,322.83,17.0,0.0,32.8,66.7,Yes,Medium
37.06,350.2,14.33,2.24,27.27,63.49,No,Low
23.49,348.75,6.78,0.3,29.94,63.38,No,Low
33.57,319.85,31.24,9.93,37.02,66.98,Yes,Medium
48.26,365.28,9.72,6.2,39.54,67.59,No,Medium
28.73,477.08,3.73,6.9,31.3,92.94,No,Low
23.56,294.62,10.49,13.76,16.7,57.08,No,Low
44.87,442.78,0.0,4.54,31.49,57.54,No,Medium
44.9,250.0,8.49,11.88,34.67,41.45,No,Medium
29.86,343.87,5.32,15.56,31.12,59.22,No,High
30.58,367.05,21.17,5.72,33.63,87.94,No,Medium
44.64,567.49,8.27,11.69,31.79,74.77,No,Medium
11.04,372.52,23.88,6.79,23.83,51.84,No,Medium
11.85,250.0,28.98,12.62,25.57,60.45,Yes,Medium
25.63,250.0,22.81,0.14,28.39,40.55,No,Medium
35.73,403.4,12.85,0.0,35.33,45.46,No,Low
46.22,461.38,16.41,6.04,26.17,62.24,No,Medium
69.51,437.55,0.0,3.56,32.28,52.58,Yes,Medium
57.15,416.76,13.66,5.42,31.52,44.33,Yes,Medium
36.8,516.23,6.4,6.9,37.93,67.35,No,Low
39.62,346.04,21.94,11.6,29.79,58.77,No,Medium
19.95,489.49,40.73,5.96,21.23,36.49,Yes,High
39.63,250.0,20.0,3.88,33.23,28.87,No,Low
34.23,309.51,0.0,6.24,40.69,51.45,No,Low
46.45,250.0,11.39,4.15,33.56,36.18,No,Medium
23.46,372.52,16.22,3.33,26.06,31.97,No,Low
50.39,395.37,15.87,0.0,24.59,76.93,Yes,Medium
70.65,411.41,7.69,8.35,25.24,58.53,Yes,High
37.82,406.19,17.45,5.16,40.02,56.02,No,Low
48.03,307.24,2.57,12.83,28.36,57.17,No,Medium
53.8,380.98,5.55,0.76,26.69,42.93,Yes,Medium
31.98,250.26,21.46,5.29,29.21,66.16,No,Medium
44.48,536.32,4.84,17.06,28.42,58.04,No,High
40.25,369.64,20.38,3.3,37.84,48.64,No,Medium
41.95,351.11,1.31,6.82,24.93,50.89,No,Medium
24.54,558.89,32.65,1.92,35.9,41.59,Yes,Medium
40.49,275.78,7.26,1.26,30.61,53.91,No,Medium
49.96,287.44,12.76,15.74,36.04,56.41,No,High
69.02,290.38,18.31,8.86,37.91,53.52,Yes,Medium
59.19,393.21,9.35,8.67,30.42,60.83,Yes,Medium
83.06,443.16,16.43,0.0,28.42,58.82,Yes,High
24.65,473.97,20.75,9.79,30.33,63.46,No,Medium
57.45,657.2,24.61,13.79,29.53,74.15,Yes,Medium
43.67,250.0,22.91,13.75,21.72,68.9,No,Medium
83.8,460.87,13.28,11.34,37.76,74.32,Yes,High
23.83,344.29,13.53,2.35,31.23,47.28,No,Low
23.21,341.36,38.49,9.57,24.18,52.37,Yes,High
28.01,338.02,24.5,11.34,19.66,69.8,No,Medium
0.0,309.12,5.78,0.0,18.36,70.07,No,Low
29.48,568.45,16.0,2.39,33.85,49.82,No,Low
24.82,484.23,11.65,12.44,26.91,69.17,No,Low
43.01,402.32,13.65,12.38,27.73,45.85,No,Medium
46.84,535.1,2.71,0.26,32.44,67.22,No,Medium
77.52,250.0,10.88,11.98,27.42,59.61,Yes,High
59.01,266.93,33.12,8.48,32.73,39.23,Yes,Medium
28.46,250.0,20.79,11.91,30.48,53.49,No,Medium
22.03,330.06,0.0,4.83,29.58,92.73,No,Low
49.84,416.17,27.17,11.23,22.14,63.04,Yes,Medium
13.6,410.29,25.9,12.22,25.9,94.51,Yes,Medium
76.63,414.93,11.41,6.24,33.01,38.34,Yes,High
63.59,258.89,22.17,8.09,26.59,71.26,Yes,Medium
30.62,480.32,6.41,4.76,36.03,21.98,No,Low
5.74,423.96,10.3,16.26,41.73,60.0,No,High
67.08,473.31,29.99,7.4,33.28,69.47,Yes,Medium
37.71,250.0,12.28,3.39,37.46,72.57,No,Low
64.76,431.15,0.0,4.42,33.6,48.01,Yes,Medium
8.11,281.22,14.37,8.63,27.33,75.59,No,Low
28.01,360.27,14.21,11.77,31.0,51.99,No,Low
40.1,453.44,26.98,1.32,40.07,57.54,Yes,Medium
40.94,409.11,15.14,17.24,27.38,53.5,No,High
31.0,314.85,10.78,9.54,24.8,42.95,No,Low
52.46,400.63,25.45,10.33,24.33,83.55,Yes,Medium
18.65,250.0,16.21,7.51,28.91,60.72,No,Low
37.15,515.03,7.5,8.1,24.98,76.31,No,Low
42.41,379.47,26.55,7.26,38.37,75.67,Yes,Medium
50.29,511.85,16.94,13.09,31.08,45.48,Yes,Medium
54.23,347.35,15.03,7.96,34.86,78.24,Yes,Medium
17.51,347.64,16.78,11.84,28.51,67.55,No,Low
9.32,323.58,4.29,5.83,24.3,44.39,No,Low
65.55,487.62,9.72,8.98,23.45,66.73,Yes,Medium
46.65,329.06,15.04,3.98,25.46,44.66,No,Medium
25.03,464.46,13.05,14.08,31.74,84.1,No,Low
71.02,361.75,27.72,3.83,32.6,72.21,Yes,High
42.31,250.0,17.17,6.38,33.02,58.93,No,Medium
63.59,342.97,23.55,6.43,22.56,78.97,Yes,Medium
41.35,282.09,15.09,6.23,30.0,36.27,No,Medium
81.21,403.39,25.56,11.61,24.87,48.76,Yes,High
75.11,280.96,18.98,6.42,32.01,56.21,Yes,High
35.02,492.6,15.13,14.97,32.4,93.54,No,Low
59.43,390.89,14.87,3.91,24.14,43.94,Yes,Medium
52.91,382.24,5.46,8.85,34.84,34.39,Yes,Medium
67.37,465.59,20.07,4.12,41.69,38.33,Yes,Medium
20.7,496.39,14.6,10.1,34.17,73.59,No,Low
53.72,397.99,9.98,7.92,29.19,51.09,Yes,Medium
61.17,322.88,26.06,7.22,28.42,57.61,Yes,Medium
4.83,250.0,2.5,13.94,28.95,71.44,No,Low
16.33,331.4,10.78,4.73,26.2,57.63,No,Low
0.0,338.28,25.28,10.93,31.26,63.06,Yes,Medium
34.61,410.71,18.16,4.16,24.31,68.03,No,Low
54.35,365.49,14.52,8.56,20.55,53.54,Yes,Medium
70.05,468.79,17.51,2.02,31.1,57.51,Yes,High
41.48,338.7,16.79,4.69,30.11,63.63,No,Medium
72.57,394.3,0.0,7.59,27.14,73.02,Yes,High
12.4,518.4,11.51,17.07,23.59,48.11,No,High
5.93,434.18,31.17,8.5,31.45,20.0,Yes,Medium
38.89,394.0,8.41,16.27,25.05,70.19,No,High
47.68,339.81,11.82,9.1,29.31,73.92,No,Medium
39.35,336.68,9.58,6.06,38.82,63.0,No,Low
0.0,314.94,14.13,15.7,33.26,64.02,No,High
38.22,345.9,9.17,10.19,23.15,51.54,No,Low
13.91,475.57,19.87,4.79,23.63,67.5,No,Low
53.39,377.81,16.97,10.35,30.76,72.8,Yes,Medium
47.33,265.02,22.74,6.54,23.12,60.85,No,Medium
21.2,576.82,4.49,0.0,19.99,97.37,No,Low
29.72,432.0,11.6,12.68,32.66,36.54,No,Low
18.82,259.31,12.74,13.47,31.6,62.44,No,Low
38.75,355.82,19.56,17.19,32.25,42.38,No,High
59.1,411.09,7.07,10.11,31.32,73.2,Yes,Medium
20.29,570.46,24.16,6.76,29.67,36.28,No,Medium
50.08,289.19,26.86,12.17,26.69,39.99,Yes,Medium
29.39,497.6,5.11,12.25,32.58,50.5,No,Low
24.14,539.95,10.09,16.19,37.65,63.99,No,High
37.86,337.13,9.68,7.78,27.49,51.07,No,Low
19.3,372.25,41.32,7.17,24.9,51.22,Yes,High
28.93,296.37,10.7,4.42,24.32,57.29,No,Low
